HIAN_Done,name,category,subcategory,description,profession,specialization,period,title,equititle,family,custom,ke,othernames,theme,birthanddeath
true,An Xá,Địa danh,,"An Xá là một làng cổ ở phía Đông Bắc Hà Nội. Trước đây khu vực này thuộc thôn Cơ Xá, thuộc tổng Tả Túc, huyện Thọ Xương, sau thuộc tổng Phúc Lâm, huyện Thọ Xương, nay làng thuộc phường Hồng Hà. Sau khi vua Lý Thái Tổ dời đô từ Hoa Lư tới Thăng Long năm 1010, dân làng phải nhường đất cho triều đình xây dựng cung cấm nên chuyển ra khu vực bãi giữa sông Hồng, cắm đất ""Thượng Xù Gạ, hạ Đồng Nhân"", nghĩa là bắt đầu từ làng Xù, làng Gạ (khu vực Phú Thượng hiện nay) đến bãi Đồng Nhân (khoảng phố Vân Đồn, khu vực Đầm Trấu hiện nay). Từ thời Lê, đất An Xá đổi tên thành Cơ Xá rồi phân tách thành nhiều khu vực do dòng chảy của sông Hồng thay đổi. Theo tương truyền đây là quê hương của Lý Thường Kiệt, là danh tướng thời nhà Lý, có công chiến thắng quân nhà Tống, được thờ tại đình làng. Làng có chùa An Xá cổ, lưu giữ quả chuông đồng khắc từ thời Lê, ghi lại các lệnh chỉ ban ưu đãi cho dân bãi Phúc Xá (hậu duệ của An Xá).",,,,,,,,,"Cơ Xá, Phúc Xá",,
false,Ao Dài,Không rõ,,,,,,,,,,,,,
false,Ao Nghè,Không rõ,,,,,,,,,,,,,
false,Ao Sào,Không rõ,,,,,,,,,,,,,
true,Ao Sen,Địa danh,,"Phố Ao Sen được đặt tên theo đặc điểm của vùng đất xung quanh. Tên Ao Sen được người dân tự đặt vào năm 1995, khi khu vực này dần đô thị hóa. Trước đây khu vực này còn nhiều đầm, ao, hồ, là vùng trũng. Người dân trồng nhiều sen xung quanh, tạo cảnh quan đặc trưng.",,,,,,,,,,,
true,Âu Cơ,Nhân vật lịch sử,Thần thoại,"Âu Cơ là nhân vật truyền thuyết trong văn hóa Việt Nam, xuất hiện trong các tác phẩm như “Lĩnh Nam chích quái” và “Đại Việt sử ký toàn thư”. Theo truyện kể, bà là con gái của Đế Lai, kết duyên cùng Lạc Long Quân và sinh ra một bọc trăm trứng, nở thành một trăm người con. Sau đó, hai người chia tay, bà đưa 50 con lên núi, còn Lạc Long Quân đưa 50 con xuống biển, tượng trưng cho nguồn gốc “con Rồng cháu Tiên” của dân tộc Việt. Âu Cơ được xem là biểu tượng của mẫu hệ và sự sinh thành trong truyền thống dân gian, nhưng không có tài liệu lịch sử xác thực về thân thế và thời gian sống của bà.",Nhân vật truyền thuyết,,Hồng Bàng - sơ sử,Tổ mẫu của người Việt; phối ngẫu của Lạc Long Quân; mẹ của Hùng Vương thứ nhất,,Vợ của Lạc Long Quân,,,,, - 
true,Âu Lạc,Triều đại/ Quốc hiệu,,"Âu Lạc là nhà nước cổ của người Việt cổ, được thành lập tại miền Bắc Việt Nam bởi An Dương Vương (Thục Phán) sau khi ông thống nhất hai bộ lạc là Âu Việt và Lạc Việt (nhà nước Văn Lang). Âu Lạc tồn tại từ năm 257 TCN tới năm 208 TCN, chỉ có một vị vua duy nhất là An Dương Vương. Vào năm 208 TCN, nhà nước Âu Lạc bị tấn công bởi đội quân của Triệu Đà, là một viên quan của nhà Tần ở Quảng Đông, Trung Quốc. Lãnh thổ quốc gia này trải dài ở miền núi trung du Bắc Bộ, xuống khu vực Đồng bằng Bắc Bộ, và trải dài tới khoảng Nghệ An hiện nay. Kinh đô của Âu Lạc đặt tại Cổ Loa, nay thuộc xã Đông Anh, Hà Nội. Đất nước Âu Lạc gắn với truyền thuyết nỏ thần của Thần Kim Quy.",,,,,,,,,,,
true,Ấu Triệu,Nhân vật lịch sử,Cách mạng,"Ấu Triệu là danh hiệu do Phan Bội Châu đặt cho Lê Thị Đàn, một nữ chiến sĩ trong phong trào Duy Tân đầu thế kỷ XX. Bà tham gia hoạt động liên lạc, vận chuyển tài liệu và hỗ trợ phong trào Đông Du. Năm 1910, sau khi bị bắt và tra khảo, bà đã dùng máu viết thơ tuyệt mệnh lên tường ngục Quảng Trị rồi tự sát bằng khăn lụa trắng. Tinh thần kiên cường của bà được Phan Bội Châu ghi lại trong sách Việt Nam nghĩa liệt sĩ.",Nhà hoạt động cách mạng,,Nhà Nguyễn & Pháp thuộc,Liệt sĩ cách mạng,,,,,,, - 1910
true,Bà Huyện Thanh Quan,Nhân vật lịch sử,Văn hoá - nghệ thuật,"Bà Huyện Thanh Quan, tên thật là Nguyễn Thị Hinh, là một nữ thi sĩ nổi bật trong văn học Việt Nam thời cận đại. Bà sinh ra tại phường Nghi Tàm, huyện Vĩnh Thuận, Hà Nội, và từng giữ chức Cung Trung Giáo Tập dưới triều Nguyễn, chuyên giảng dạy cho các công chúa và cung phi. Thơ của bà chủ yếu viết bằng chữ Nôm, theo thể Đường luật, nổi bật với phong cách trang nhã, điêu luyện và giàu cảm xúc hoài cổ. Một số bài thơ tiêu biểu như “Qua Đèo Ngang”, “Chiều hôm nhớ nhà” được đưa vào sách giáo khoa và nghiên cứu văn học.",Nhà thơ,,Nhà Nguyễn & Pháp thuộc,Cung Trung Giáo Tập,,,,,,,1805 - 1848
true,Ba La,Địa danh,,"Ba La là một làng cổ ở phía Tây Nam, Hà Nội. Hiện tại địa danh nay đang ở ranh giới giữa hai phường Kiến Hưng và Phú Lương. Có một số nguồn cho rằng làng này được lập ra bởi các tù binh Chiêm Thành bị các vua nhà Lý, nhà Lê bắt được đưa đến đây khai khẩn.",,,,,,,,,,,
true,Bà Triệu,Nhân vật lịch sử,Quân sự,"Bà Triệu, tên thật là Triệu Thị Trinh, là một nữ tướng nổi bật trong lịch sử Việt Nam thế kỷ III. Bà sinh tại quận Cửu Chân (nay thuộc tỉnh Thanh Hóa), từ nhỏ đã thể hiện chí khí mạnh mẽ. Năm 248, bà lãnh đạo cuộc khởi nghĩa chống lại ách đô hộ của nhà Đông Ngô, tập hợp nghĩa quân tại núi Nưa và đánh chiếm nhiều thành ấp ở vùng Giao Châu. Dù cuộc khởi nghĩa thất bại, bà được ghi nhận là biểu tượng của tinh thần kháng cự và lòng yêu nước.",Võ tướng,,Bắc Thuộc & khởi nghĩa,Thủ lĩnh kháng chiến,,,,,,,8/11/226 - 2/4/248
true,Bắc Cầu,Địa danh,,"Bắc Cầu là tên một làng cổ ở Hà Nội. Làng trước đây thuộc xã Đông Ngàn, tổng Hội Phụ, huyện Đông Ngàn, trấn Kinh Bắc, nay phố Bắc Cầu thuộc phường Bồ Đề. Làng ở phía Bắc của cầu Long Biên, nên mới được gọi là Bắc Cầu. Làng có ba xóm, sau này phát triển thành ba thôn là Thượng, Trung và Hạ. Làng ở ngoài đê, ở giữa ngã ba sông Hồng và sông Đuống, nên dân làng trồng dâu tằm và các loại hoa màu, cũng như đánh cá, vớt củi trên sông Hồng. Làng Bắc Cầu gắn với câu chuyện của ông Ngô Sách Tuân. Ông là người làng Tam Sơn (phường Từ Sơn, tỉnh Bắc Ninh), đỗ Tiến sĩ năm 1676. Ông có công lao trấn ải vùng Cao Bằng và xây dựng, mở mang các làng xã ven Thăng Long. Theo lưu truyền, ông đi công vụ qua làng thì thấy dân bị đói, dịch bệnh hoành hành. Ông bỏ tiền mua gạo chia cho dân, mua thuốc để trị dịch bệnh và cho dân làng tiền xây lại cổng làng. Dân làng tôn ông làm Hậu thần, hàng năm mời con cháu ông đến giỗ. Đình thôn Thượng là đình còn lại duy nhất, thờ Linh Lang đại vương.",,,,,,,,,,,
true,Bắc Hồng,Không rõ,,,,,,,,,,,,,
false,Bắc Lãm,Địa danh,,,,,,,,,,,,,
false,Bắc Sơn,Sự kiện lịch sử,,"Khởi nghĩa Bắc Sơn diễn ra tại Bắc Sơn, Lạng Sơn năm 1940",,,Nhà Nguyễn & Pháp thuộc,,,,,,,,
true,Bạch Đằng,Khác,,"Bạch Đằng là tên một con sông, hiện là một phần ranh giới giữa tỉnh Quảng Ninh và thành phố Hải Phòng. Giang phận bắt đầu từ ngã ba sông Kinh Thầy, sông Đá Vách và sông Bạch Đằng và đổ ra Biển Đông tại cửa biển Nam Triệu. Tên ""Bạch Đằng Giang"" nghĩa là ""rừng sóng bạc đầu"", do sông nhỏ nhưng có sóng rất dữ. Tại sông Bạch Đằng có 3 trận thuỷ chiến lớn, bao gồm trận thuỷ chiến năm 938 giữa quân của Ngô Quyền và quân Nam Hán; trận thuỷ chiến năm 981 giữa quân Lê Đại Hành và quân Tống; trận thuỷ chiến năm 1288 giữa quân nhà Trần dưới sự chỉ huy của Hưng Đạo Đại Vương Trần Quốc Tuấn và quân Mông Nguyên.",,,,,,,,,,Thuỷ chiến nhà Trần,
true,Bạch Mai,Địa danh,,"Bạch Mai là một làng cổ ở phía Nam thành Thăng Long. Làng gốc tên là Hồng Mai, đến đời Tự Đức phải đổi tên thành Bạch Mai, trước thuộc tổng Tả Nghiêm, huyện Thọ Xương, sau thành tổng Kim Liên, huyện Thọ Xương, nay phố Bạch Mai thuộc phường Bạch Mai. Làng có nghề giết mổ lợn phát triển mạnh nên được gọi là Mơ Thịt. Trước đây cả vùng này trồng nhiều mai, lấy quả mơ nên gọi là Kẻ Mơ. Làng được chia thành 6 giáp, bao gồm Tô, Hoàng, Nội, Mật, Nhất và Nhị. Giáp Tô và giáp Hoàng thờ chung một đình là đình Tô Hoàng, hiện trong ngõ Tô Hoàng. Bốn giáp còn lại chung nhau hai đình là Đình Đại (ngõ Đình Đại tại số nhà 198 Bạch Mai) và Đình Đông (ngõ Đình Đông tại số nhà 125). Đình Tô Hoàng và Đình Đông thờ Linh Lang (một nhân vật truyền thuyết từ thời Lý), đình Đại thờ thần Cao Sơn (một nhân vật huyền thoại đã cùng Sơn Tinh khắc chế được Thuỷ Tinh). Chùa Liên Phái (tên cũ là Liên Tông, đổi do kỵ huý vua Thiệu Trị) do Trịnh Hợp (em ruột chúa Trịnh Cương) dựng năm 1726, là trung tâm Phật giáo lớn. Tại ngõ 222 phố Bạch Mai có Văn chỉ Thọ Xương, là nơi thờ Khổng Tử, được coi là Văn Miếu thu nhỏ.",,"Giết mổ lợn, buôn bán thịt",,,,,,Kẻ Mơ,"Mơ Thịt, Mơ Vàng",,
true,Bạch Thái Bưởi,Nhân vật lịch sử,Doanh nhân,"Bạch Thái Bưởi sinh tại làng Yên Phúc, huyện Thanh Trì, tỉnh Hà Đông (nay thuộc quận Hà Đông, Hà Nội) trong một gia đình nông dân nghèo. Sau khi được một người họ Bạch nhận làm con nuôi, ông đổi họ và được cho ăn học. Ông từng làm thư ký cho hãng buôn Pháp, sau đó chuyển sang kinh doanh độc lập. Từ năm 1909, ông phát triển ngành vận tải đường sông, cạnh tranh với các hãng tàu Hoa và Pháp bằng cách xây dựng thương hiệu riêng và cổ động tinh thần ủng hộ doanh nghiệp Việt. Ông còn đầu tư vào khai thác than, in ấn và xuất bản báo chí. Đông Kinh ấn quán do ông sáng lập là một trong những nhà in lớn đầu thế kỷ 20. Bạch Thái Bưởi được xem là một trong những doanh nhân tiêu biểu của Việt Nam thời kỳ đầu phát triển kinh tế tư nhân. Tên ông được đặt cho một con phố thuộc làng Yên Phúc, Hà Đông để tưởng nhớ công lao của ông.",Doanh nhân,,Nhà Nguyễn & Pháp thuộc,"Chủ hãng tàu Bạch Thái Bưởi; Chủ nhiệm Đông Kinh ấn quán; Nhà thầu thuế tại Nam Định, Thanh Hóa, Vinh",,,,,,,8/7/1847 - 22/7/1932
true,Bạch Thành Phong,Nhân vật lịch sử,Cách mạng,"Bạch Thành Phong sinh tại phố La Khê, Hà Đông (nay thuộc Hà Nội). Từ thời kỳ Mặt trận Dân chủ Đông Dương, ông đã tham gia hoạt động cách mạng và sau đó giữ nhiều trọng trách trong các tỉnh ủy và thành ủy. Trong giai đoạn 1941-1944, ông đảm nhiệm vai trò lãnh đạo ở Hà Đông, Hà Nam, Sơn Tây và Hà Nội, đồng thời tham gia công tác Trung ương cùng nhiều nhân vật quan trọng. Ông được ghi nhận là một trong những cán bộ chủ chốt của phong trào cách mạng ở Bắc Kỳ, có đóng góp trong việc tổ chức lực lượng và duy trì hoạt động cách mạng trong thời kỳ khó khăn.",Nhà cách mạng,,Cách mạng & kháng chiến,"Ủy viên Thường vụ Xứ ủy Bắc Kỳ, Bí thư Tỉnh ủy Hà Đông, Bí thư Tỉnh ủy Hà Nam, Bí thư Tỉnh ủy Sơn Tây, Bí thư Thành ủy Hà Nội",,,,,,,1916 - 11/11/2016
false,Bằng B,Không rõ,,,,,,,,,,,,,
false,Bằng Liệt,Địa danh,,,,"Trồng vải tiến vua, làm bún, nghề mộc",,,,,,,,,
false,Báo Khánh,Địa danh,,,,,,,,,,,,,
false,Bảo Linh,Địa danh,,,,,,,,,,,,,
false,Bát Đàn,Địa danh,,,,"Bán bát, đĩa, ấm, chén, chum, vại bằng đồ đàn (đồ gốm)",,,,,,,,,
false,Bát Khối,Địa danh,,,,,,,,,,,,,
false,Bát Sứ,Địa danh,,,,,,,,,,,,,
true,Bế Văn Đàn,Nhân vật lịch sử,Cách mạng,"Bế Văn Đàn là chiến sĩ thuộc Quân đội Nhân dân Việt Nam, quê ở xã Quang Vinh (nay là xã Triệu Ẩu), huyện Quảng Hòa, tỉnh Cao Bằng. Trong Chiến dịch Đông Xuân 1953–1954, ông tham gia trận chiến tại Mường Pồn, Điện Biên. Khi xạ thủ hy sinh và không có chỗ đặt súng, ông đã lấy thân mình làm giá súng để đồng đội tiếp tục chiến đấu. Hành động này góp phần đẩy lùi đợt phản kích của quân Pháp. Ông hy sinh ngay tại trận địa, được truy tặng danh hiệu Anh hùng lực lượng vũ trang nhân dân.",Quân nhân,,Cách mạng & kháng chiến,Anh hùng Lực lượng vũ trang nhân dân,,,,,,,1931 - 12/12/1953
true,Bích Câu,Địa danh,,"Bích Câu là một địa danh cổ ở Hà Nội, Trước đây thuộc thôn Cận Tú Uyên, tổng Yên Thành, huyện Vĩnh Thuận, nay phố Bích Câu thuộc phường Ô Chợ Dừa. Bích Câu nghĩa là ""ngòi biếc"", chỉ một dòng nước trong xanh từng chảy qua khu vực này, thông với hồ Giám, tạo thành một hệ thống thuỷ văn cổ ở Thăng Long. Khu vực này gắn với câu chuyện thần tiên Bích Câu kỳ ngộ, sau này được Đoàn Thị Điểm ghi thành truyện chép trong Truyền kỳ tân phả.",,,,,,,,,,,
false,Biên Giang,Không rõ,,,,,,,,,,,,,
true,Bình Minh,Không rõ,,,,,,,,,,,,,
true,Bình Sơn,Địa danh,,,,,,,,,,,,,
false,Bồ Đề,Địa danh,,,,"Làm giấy dó, làm vàng mã (truyền thống)",,,,,"Lễ hội đình Bồ Đề vào ngày 13 tháng Giêng âm lịch; Tục thờ Linh Lang Đại Vương và các vị thần bản địa; Tổ chức lễ rước kiệu, tế lễ, hát cửa đình",,,,
true,Bùi Bằng Đoàn,Nhân vật lịch sử,Quan chức,"Bùi Bằng Đoàn sinh tại làng Liên Bạt, huyện Ứng Hòa, tỉnh Hà Đông (nay thuộc Hà Nội), trong một gia đình khoa bảng. Ông đỗ cử nhân năm 1906, tốt nghiệp Trường Hậu Bổ năm 1911 và từng giữ nhiều chức vụ như Tri huyện, Tri phủ, Án sát, Tuần phủ các tỉnh Bắc Ninh, Cao Bằng, Ninh Bình. Năm 1933, ông được bổ nhiệm làm Thượng thư Bộ Hình triều Nguyễn. Sau Cách mạng tháng Tám, ông tham gia chính quyền mới, giữ chức Trưởng ban Thanh tra đặc biệt và sau đó là Trưởng ban Thường trực Quốc hội khóa I từ năm 1946 đến khi qua đời. Ông được đánh giá cao về phẩm chất thanh liêm, chính trực trong cả hai giai đoạn phục vụ triều đình và chính quyền cách mạng.","Nhà chính trị, công chức hành chính",,Nhà Nguyễn & Pháp thuộc,Thượng thư Bộ Hình triều Nguyễn; Trưởng ban Thanh tra đặc biệt Chính phủ Việt Nam Dân chủ Cộng hòa; Trưởng ban Thường trực Quốc hội khóa I,,,,,,,11/9/1889 - 13/4/1955
true,Bùi Huy Bích,Nhân vật lịch sử,Quan chức,"Bùi Huy Bích, tự Hy Chương, hiệu Tồn Am, sinh tại làng Định Công, huyện Thanh Đàm, phủ Thường Tín, trấn Sơn Nam Thượng (nay thuộc Hà Nội). Ông đỗ Hoàng giáp năm 1770 và từng giữ nhiều chức vụ cao dưới triều vua Lê – chúa Trịnh. Ông nổi bật với vai trò Tham tụng, tương đương thủ tướng, và từng tham gia trấn giữ Nghệ An, bình định loạn Mường Thai. Về văn học, ông là tác giả của “Hoàng Việt thi tuyển”, một tuyển tập thơ văn tiêu biểu thời Lê Trung hưng. Sau khi từ quan, ông sống ẩn dật tại phường Bích Câu, Hà Nội, chuyên nghiên cứu và biên soạn sử liệu.","Nhà văn, nhà sử học, quan lại triều đình",,Phân tranh,Tham tụng; Hàn lâm viện hiệu lý; Thị chế; Thiêm sai phủ liêu Tri hộ phiên; Đông các Hiệu thư; Đốc đồng Nghệ An; Hiệp trấn Nghệ An; Hành Tham tụng,,,,,,,3/10/1744 - 25/5/1818
true,Bùi Huy Đáp,Nhân vật lịch sử,Kỹ thuật,"Bùi Huy Đáp quê tại xã Nam Mỹ, huyện Nam Trực, tỉnh Nam Định. Ông là người đặt nền móng cho nền khoa học nông nghiệp hiện đại Việt Nam, nổi bật với việc nghiên cứu và chỉ đạo chuyển đổi cơ cấu mùa vụ từ chiêm - mùa sang xuân - mùa, đưa giống lúa ải và lúa xuân vào sản xuất diện rộng ở miền Bắc. Ông cũng là người có công lớn trong việc ứng dụng các tiến bộ kỹ thuật về phân bón, thủy lợi và phòng trừ sâu bệnh. Với những đóng góp quan trọng này, ông đã được trao tặng Giải thưởng Hồ Chí Minh về khoa học công nghệ đợt 1 năm 1996.","Giáo sư, Nhà nông học",,Cách mạng & kháng chiến,Phó Chủ nhiệm Ủy ban Khoa học và Kỹ thuật Nhà nước,,,,,,,15/12/1919 - 1/7/2004
true,Bùi Ngọc Dương,Nhân vật lịch sử,Quân sự,"Bùi Ngọc Dương sinh tại Hà Nội, tốt nghiệp kỹ sư xây dựng tại Đại học Bách Khoa Hà Nội năm 1966. Sau khi ra trường, ông nhập ngũ và tham gia chiến đấu tại chiến trường miền Nam. Trong trận đánh vào căn cứ chỉ huy của Mỹ ở Khe Sanh tháng 1 năm 1968, ông bị thương nặng nhưng vẫn tiếp tục chỉ huy đơn vị chiến đấu. Hai ngày sau, ông hy sinh vì vết thương quá nặng. Năm 1969, ông được truy tặng danh hiệu Anh hùng Lực lượng vũ trang nhân dân.","Quân nhân, kỹ sư xây dựng",,Cách mạng & kháng chiến,Anh hùng Lực lượng vũ trang nhân dân,,,,,,,1943 - 27/1/1968
true,Bùi Quốc Khái,Nhân vật lịch sử,Quan chức,"Bùi Quốc Khải (chữ Hán: 裴國愾) sinh năm Tân Dậu (1141), quê gốc có hai thuyết: làng Bằng Liệt (nay thuộc quận Hoàng Mai, Hà Nội) hoặc làng Bình Lãng, huyện Cẩm Giàng, tỉnh Hải Dương. Ông nổi tiếng là người có tài nhưng không màng công danh, mãi đến năm 45 tuổi mới đi thi và đỗ đại khoa trong kỳ thi Tiến sĩ năm Trinh Phù thứ 10 (1185) dưới thời vua Lý Cao Tông. Sau khi đỗ đạt, ông được bổ nhiệm làm Nhập thị Kinh diên, dạy Thái tử và hầu vua học, rồi thăng đến chức Đô Ngự sử. Ông làm quan qua ba triều vua: Lý Cao Tông, Lý Huệ Tông và Lý Chiêu Hoàng. Khi triều chính suy đồi, ông treo ấn từ quan và xuất gia tu hành tại chùa Thiên Niên gần Hồ Tây. Ông mất năm 1234, thọ 93 tuổi, được dân làng lập tượng thờ và ghi danh trên bia đá như một bậc trung nghĩa, thanh liêm.","Chính trị gia, trạng nguyên nho học",,Nhà Lý,"Đô Ngự sử triều Lý, Tiến sĩ khoa Ất Tỵ (1185)",,,,,,,1141 - 1234
