name:trivia,processedname,ward,trivia,localhero
Ngách 135/25 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 135/29 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 135/31 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 135/33 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 135/48 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 154/39 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 158/31 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 158/63 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 162/43 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 165/13 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/1 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/17 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/20 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/36 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/5 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 266/6 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 370/28 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 390/1 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 390/15 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 390/3 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 390/5 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 489/7 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 544/22 Phố Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 548/1 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 548/40 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 548/49 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 548/53 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 548/55 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 554/31 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 554/33 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 558/8 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 560/31 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 560/55 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 560/65 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/12 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/2 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/20 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/25 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/37 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/5 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 564/55 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 615/3 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/106 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/110 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/41 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/43 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/51 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/57 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 640/96 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 667/2 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 667/9 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 67/22 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngách 67/5 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 111 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 133 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 135 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 139 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 145 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 158 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 162 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 163 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 164 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 175 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 201 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 266 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 301 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 307 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 323 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 357 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 370 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 390 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 409 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 418 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 451 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 470 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 489 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 491 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 5 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 514 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 539 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 544 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 548 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 554 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 558 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 560 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 564 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 615 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 62 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 640 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 667 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 67 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 674 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 676 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 684 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 686 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 694 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 702 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Ngõ 81 Đường Nguyễn Văn Cừ - Bồ Đề,Nguyễn Văn Cừ,Bồ Đề,,
Đường Nguyễn Văn Linh - Bồ Đề,Nguyễn Văn Linh,Bồ Đề,,
Phố Phú Hựu - Bồ Đề,Phú Hựu,Bồ Đề,,
Ngách 1/126 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngách 127/14 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngách 127/15 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngách 127/27 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngách 2/1 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngách 22/3 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 1 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 104 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 127 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 138 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 142 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 156 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 2 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 22 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 80 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 82 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 92 Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Phố Phú Viên - Bồ Đề,Phú Viên,Bồ Đề,,
Ngõ 16 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 26 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 30 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 32 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 4 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 44 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 50 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Ngõ 90 Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Phố Tạ Đông Trung - Bồ Đề,Tạ Đông Trung,Bồ Đề,,TRUE
Cầu Trần Hưng Đạo - Bồ Đề,Trần Hưng Đạo,Bồ Đề,,
Phố Trịnh Tố Tâm - Bồ Đề,Trịnh Tố Tâm,Bồ Đề,,
"Cầu Chương Dương - Bồ Đề, Hồng Hà",Chương Dương,"Bồ Đề, Hồng Hà","Cầu Chương Dương là cây cầu lớn đầu tiên do phía Việt Nam hoàn toàn tự thiết kế và thi công mà không có trợ giúp kỹ thuật từ các kỹ sư nước ngoài. Cầu được thiết kế bởi Viện thiết kế giao thông (nay là Tổng công ty Tư vấn thiết kế giao thông vận tải TEDI), được xây dựng từ 10/10/1983, thông xe ngày 30/6/1985 bởi Liên hiệp các xí nghiệp giao thông khu vực 1 và xí nghiệp liên hợp xây dựng cầu Thăng Long. Vào thời điểm này, cầu Long Biên là cầu duy nhất qua sông Hồng nên ách tắc xảy ra thường xuyên. Cùng thời điểm này cầu Thăng Long được xây dựng, nhưng vị trí ở quá xa trung tâm nên nhu cầu xây dựng cầu bắc sông Hồng cấp thiết hơn. Để xây dựng cầu, Thứ trưởng Bộ Giao thông vận tải Bùi Danh Lưu thuyết phục Chính phủ làm cầu sắt vĩnh cửu, tận dụng vật liệu thừa từ công trường cầu Thăng Long và dầm cầu đường sắt, ""chế sửa"" lại để phù hợp cho cầu Chương Dương. Cầu gồm 21 nhịp, 11 nhịp thép, 10 nhịp bê tông, gồm 2 làn ô tô ở giữa và 2 làn hỗn hợp hai bên.",
"Cầu Long Biên - Bồ Đề, Hồng Hà",Long Biên,"Bồ Đề, Hồng Hà","Cầu Long Biên là cây cầu thép đầu tiên bắc qua sông Hồng, đồng thời là công trình cầu thép lớn nhất Đông Dương lúc bấy giờ. Cầu có tên cũ là cầu Paul Doumer, đặt theo tên của Toàn quyền Đông Dương lúc bấy giờ. Năm 1945 cầu được bác sỹ Trần Văn Lai đổi tên thành Long Biên. Trái với lầm tưởng của nhiều người, cầu không được Gustave Eiffel thiết kế, mà được thiết kế và xây dựng bởi Daydé & Pillé. Cầu được xây dựng từ năm 1898, hoàn thành năm 1902, được sử dụng năm 1903. Cầu dài 2290m, gồm 896m cầu dẫn, 19 nhịp dầm thép đặt trên 20 trụ cao hơn 40m (kể cả móng) và đường dẫn xây bằng đá. Cầu ban đầu chỉ bao gồm 1 đường sắt đơn chạy ở giữa, tuy nhiên do nhu cầu vận tải gia tăng nên thi công thêm đường dành cho xe cơ giới và đi bộ ở hai bên. Trong Kháng chiến chống Mỹ, cầu bị ném bom nhiều lần và bị hư hại nặng 8 nhịp, sau này các nhịp này được thay thế bằng hệ dầm quân dụng. Cầu Long Biên và cầu Việt Trì là hai cầu duy nhất ở Việt Nam lưu thông ngược chiều, không phải vì lý do hàng hoá lưu thông một chiều nên cầu bị nghiêng, mà do xung đột giao thông tại nút giao lối lên cầu (Hàng Đậu giao với Trần Nhật Duật) nên tới năm 1953, chính quyền ban hành quy định đảo ngược chiều di chuyển.",
"Cầu Tứ Liên - Bồ Đề, Hồng Hà",Tứ Liên,"Bồ Đề, Hồng Hà",,
"Đường Cổ Linh - Bồ Đề, Long Biên",Cổ Linh,"Bồ Đề, Long Biên",,
"Phố Nguyễn Sơn - Bồ Đề, Long Biên",Nguyễn Sơn,"Bồ Đề, Long Biên",,
"Đường Nguyễn Văn Linh - Bồ Đề, Long Biên",Nguyễn Văn Linh,"Bồ Đề, Long Biên",,
"Cầu Trần Hưng Đạo - Bồ Đề, Long Biên",Trần Hưng Đạo,"Bồ Đề, Long Biên",,
"Đường Gia Thượng - Bồ Đề, Việt Hưng",Gia Thượng,"Bồ Đề, Việt Hưng",,
"Đường Nam Đuống - Bồ Đề, Việt Hưng",Nam Đuống,"Bồ Đề, Việt Hưng",,
"Ngõ 29 Phố Thượng Thanh - Bồ Đề, Việt Hưng",Thượng Thanh,"Bồ Đề, Việt Hưng",,
Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Hẻm 155/37/19 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Hẻm 155/37/3 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Hẻm 79/40/26 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Hẻm 79/56/25 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Hẻm 79/56/8 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 155/37 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 155/43 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 155/51 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 155/7 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 165/110 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 165/12 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 165/18 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 165/45 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 165/48 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 255/42 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 255/50 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/10 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/20 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/28 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/34 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/4 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/40 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/77 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 260/8 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 40/79 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 53/165 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 69/260 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 79/106 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 79/16 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 79/56 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 109 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 155 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 165 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 201 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 209 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 226 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 228 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 255 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 260 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 329 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 394 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 79 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngõ 93 Đường Cầu Giấy - Cầu Giấy,Cầu Giấy,Cầu Giấy,,
Ngách 76/22 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 10 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 26 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 28 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 42 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 48 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 76 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngõ 86 Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Phố Chùa Hà - Cầu Giấy,Chùa Hà,Cầu Giấy,,
Ngách 29/16 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 29/8 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 37/11 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 37/2 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 37/21 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 37/27 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 2 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 29 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 37 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 39 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 43 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 45 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 49 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 53 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 55 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 57 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 72 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngõ 88 Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Phố Dịch Vọng - Cầu Giấy,Dịch Vọng,Cầu Giấy,,
Ngách 66/18 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 1 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 100 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 25 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 34 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 36 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 43 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 66 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 82 Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Phố Dịch Vọng Hậu - Cầu Giấy,Dịch Vọng Hậu,Cầu Giấy,,
Ngõ 4 Phố Dương Đình Nghệ - Cầu Giấy,Dương Đình Nghệ,Cầu Giấy,,
Ngõ 6 Phố Dương Đình Nghệ - Cầu Giấy,Dương Đình Nghệ,Cầu Giấy,,
Ngõ 68 Phố Dương Đình Nghệ - Cầu Giấy,Dương Đình Nghệ,Cầu Giấy,,
Phố Dương Đình Nghệ - Cầu Giấy,Dương Đình Nghệ,Cầu Giấy,,
Phố Dương Đình Nghệ Kéo Dài - Cầu Giấy,Dương Đình Nghệ,Cầu Giấy,,
Ngách 76/2 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngách 76/8 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 11 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 14 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 15 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 19 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 3 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 36 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 4 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 76 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 78 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 82 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Ngõ 86 Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Phố Duy Tân - Cầu Giấy,Duy Tân,Cầu Giấy,,
Hẻm 184/41/18 Phố Hoa Bằng - Cầu Giấy,Hoa Bằng,Cầu Giấy,,
